Si el clarín con su bélico acento,"Ta na ndei'i trompeta xi'in tachi ra,",Mixteco de Tezoatlán (mxb),El Himno Nacional,Tu’un nda’i
Cómo alimentar a los niños,Jā nāsa kajī sūchī lúlí  ,Mixteco de Santo Tomás Ocotepec (mie),Como curar algunas enfermedades,Tu’un savi
el Señor ocho Venado,Iꞌà Nacuaa,Mixteco de Chalcatongo (mig),Curso de lengua Mixteca,Sa'ìn Sàu
Las gallinas ponen huevos,Nsìvì nduá sakín sìùn.,Mixteco San Jerónimo Xayacatlán (mit),Abecedario Mixteco,dàꞌàn dáví
"Dicen que la gente que se cae en una barranca y se muere, allí nomás se queda su alma","Ñayii ka ke koo kava ma te ka ji'i ma, chi yukan-ni ka ndoo anua i ma.",Mixteco de Magdalena Peñasco (xtm),Algunos dichos y creencias tradicionales de Magdalena Peñasco,Sa’an Ñuu Savi
Doña Luisa también tiene tos.,Suni ndóꞌo Luisa kuēꞌē káyū.,Mixteco de Santo Tomás Ocotepec (mie),Como curar algunas enfermedades,Tu’un savi
"De a dos metros se da la planta del maíz, pero maíz pues, maíz.","Uu metro nɨñɨ, kò nunì vii, nunì.",Mixteco de Chalcatongo (mig),Curso de lengua Mixteca,Sa'ìn Sàu
entonces necesita otro remedio.,de kúní inkā tātān.,Mixteco de Santo Tomás Ocotepec (mie),Como curar algunas enfermedades,Tu’un savi
el día que no dormimos,Kɨu jà mà kusùyo,Mixteco de Chalcatongo (mig),Curso de lengua Mixteca,Sa'ìn Sàu
"Si la venturilla está frente a nosotros, dicen que vamos a tener buena suerte.","Nú iyo lasaa kua'a ma nuu o, chi koo suerte o, ka ka'an i.",Mixteco de Magdalena Peñasco (xtm),Algunos dichos y creencias tradicionales de Magdalena Peñasco,Sa’an Ñuu Savi
mi pueblo está entre los montes,ñuù máárí íyàa màꞌñú yuku,Mixteco de Chalcatongo (mig),Curso de lengua Mixteca,Sa'ìn Sàu
Así es como trabajan en la milpa.,Soꞌo káchíñu-na xa̱ꞌá itu.,Mixteco de Juxtlahuaca (vmc),Del maíz a la tortilla,Tu’un da’vi
Un soldado en cada hijo te dio.,Iin iin soldado kuu de'e ni ni'on,Mixteco de Tezoatlán (mxb),El Himno Nacional,Tu’un nda’i
El perro comenzó a morder al marrano,de nī nkijéꞌé tinā yayīꞌí-tī kinī.,Mixteco de Ocotepec (mie),El cuento de una mujer y su marrano,Tu’un savi
La golondrina es el animal que rejunta las nubes.,Kiti ndáxtutu viko kúu tixiko. ,Mixteco de Magdalena Peñasco (xtm),Algunos dichos y creencias tradicionales de Magdalena Peñasco,Sa’an Ñuu Savi
"Hay plato, hay jarro.","Yóó koꞌò, yóó tɨndoꞌò. ",Mixteco de Chalcatongo (mig),Curso de lengua Mixteca,Sa'ìn Sàu
"Si tiene usted gripe, quédese en casa y descanse.","Tú ndóꞌo-ní kuēꞌē gripe de kendōo-ní veꞌe, natātú-ni.",Mixteco de Santo Tomás Ocotepec (mie),Como curar algunas enfermedades,Tu’un savi
"En los días que tenga mucho dolor, tome usted la medicina Salicilato de Sodio, dos píldoras tres veces al día, al amanecer, al mediodía y al anochecer.","Quīvī yájī ndasÍ yiki-nÍ de kokó-nÍ tātān Salicilato de Sodio, ūū pÍldora ūnī vuelta tá iin iin quīvī, ūū jāneꞌēn, ūü sava nduú, üū-kā jañíni.",Mixteco de Santo Tomás Ocotepec (mie),Como curar algunas enfermedades,Tu’un savi
Hicieron los aretes de la cocinera.,nu masu siki so'o kosinera ni kuu yulu i'ya tevilu.,Mixteco de San Agustin Tlacotepec (xtm),La canción del gato,Tu’un savi
Amarró el burro con un nudo fuerte en el mecate.,Iin sìkàtnú kaꞌnú nì chikuꞌni-nè yoꞌò xi burru.,Xayacatlán de Bravo (mit),Cómo leer en Mixteco,dàꞌàn dáví
"Entonces los dos se fueron. Y allí estaba un puente, y el conejo lo pasó varias veces porque claro que no pesa mucho. ","Sani te kuan koo ti ma. Te yukan iyo in puente, te ya'a ya'a ni ti ma. Va ma suu nde vee kiti yukan ma. Te inka ni, te ni ya'a tee yukan ma, ",Mixteco de Magdalena Peñasco (xtm),"La cucaracha, la gallina, el coyote y el señor",Tu’un savi
cuajilote ,chite,Mixteco de Magdalena Peñasco (xtm),Algunos dichos y creencias tradicionales de Magdalena Peñasco,Sa’an Ñuu Savi
No hay lluvia en esta región,kòò dàvì ladu yoꞌó.,Xayacatlán de Bravo (mit),Cómo leer en Mixteco,dàꞌàn dáví
"Cuando el tecolote chilla, avisa que algo malo va a suceder.","Ora nda'yu tiñumi ma, in seña káxtnu'u ti ja ko kuu in ja u'vi.",Mixteco de Magdalena Peñasco (xtm),Algunos dichos y creencias tradicionales de Magdalena Peñasco,Sa’an Ñuu Savi
La enfermedad viene de repente o cuando la persona ha tenido gripe u otra calentura.,"Sanaā-ni vāji kuēꞌē yáꞌá, á vāji tá nī ndoꞌo nchivī kuēꞌē gripe á inkā quīji.",Mixteco de Santo Tomás Ocotepec (mie),Como curar algunas enfermedades,Tu’un savi
