#prior	lem	pos	feat	dep	lem	pos	feat	dep
2	_	n	pl	_	_	NOUN	Number=Plur	_
2	_	n	rel	_	_	NOUN	NounType=Relat	_	
2	_	n	dim	_	_	NOUN	Deriv=Dim	_	
2	_	prn	pro	_	_	PRON	PronType=Prs	_
1	_	_	pres	_	_	_	Tense=Pres|VerbForm=Fin	_
1	_	_	pret	_	_	_	Tense=Past|VerbForm=Fin	_
1	_	_	fut	_	_	_	Tense=Fut|VerbForm=Fin	_
1	_	_	impf	_	_	_	Aspect=Impf|Tense=Past|VerbForm=Fin	_
1	_	_	p1|sg	_	_	_	Number=Sing|Person=1	_
1	_	_	p2|sg	_	_	_	Number=Sing|Person=2	_
1	_	_	p3|sg	_	_	_	Number=Sing|Person=3	_
1	_	_	p1|pl	_	_	_	Number=Plur|Person=1	_
1	_	_	p2|pl	_	_	_	Number=Plur|Person=2	_
1	_	_	p3|pl	_	_	_	Number=Plur|Person=3	_
1	_	_	o_sg1	_	_	_	Number[obj]=Sing|Person[obj]=1	_
1	_	_	o_sg2	_	_	_	Number[obj]=Sing|Person[obj]=2	_
1	_	_	o_sg3	_	_	_	Number[obj]=Sing|Person[obj]=3	_
1	_	_	o_sg3_om	_	_	_	Number[obj]=Sing|Person[obj]=3	_
1	_	_	o_pl1	_	_	_	Number[obj]=Plur|Person[obj]=1	_
1	_	_	o_pl2	_	_	_	Number[obj]=Plur|Person[obj]=2	_
1	_	_	o_pl3	_	_	_	Number[obj]=Plur|Person[obj]=3	_
1	_	_	s_sg1	_	_	_	Number[subj]=Sing|Person[subj]=1	_
1	_	_	s_sg2	_	_	_	Number[subj]=Sing|Person[subj]=2	_
1	_	_	s_sg3	_	_	_	Number[subj]=Sing|Person[subj]=3	_
1	_	_	s_pl1	_	_	_	Number[subj]=Plur|Person[subj]=1	_
1	_	_	s_pl2	_	_	_	Number[subj]=Plur|Person[subj]=2	_
1	_	_	s_pl3	_	_	_	Number[subj]=Plur|Person[subj]=3	_
1	_	_	px1sg	_	_	_	Number[psor]=Sing|Person[psor]=1	_
1	_	_	px2sg	_	_	_	Number[psor]=Sing|Person[psor]=2	_
1	_	_	px3sg	_	_	_	Number[psor]=Sing|Person[psor]=3	_
1	_	_	px1pl	_	_	_	Number[psor]=Plur|Person[psor]=1	_
1	_	_	px2pl	_	_	_	Number[psor]=Plur|Person[psor]=2	_
1	_	_	px3pl	_	_	_	Number[psor]=Plur|Person[psor]=3	_
1	_	_	tv	_	_	_	Subcat=Tran	_
1	_	_	iv	_	_	_	Subcat=Intr	_
1	_	_	abs	_	_	_	Case=Abs	_
1	_	np	top	_	_	PROPN	_	_
1	_	np	ant	_	_	PROPN	_	_
1	_	v	_	_	_	VERB	_	_
1	_	aux	_	_	_	AUX	_	_
1	_	n	_	_	_	NOUN	_	_
1	_	adv	_	_	_	ADV	_	_
1	_	adj	_	_	_	ADJ	_	_
1	_	ij	_	_	_	INTJ	_	_
1	_	num	_	_	_	NUM	_	_
1	_	det	_	_	_	DET	_	_
1	_	cnjsub	_	_	_	SCONJ	_	_
1	_	cnjcoo	_	_	_	CCONJ	_	_
1	_	sent	_	_	_	PUNCT	_	_
1	_	cm	_	_	_	PUNCT	_	_
